id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo
76,1,2,6,1,64,5,0,0,1,0.16494845,0.028125,74167,11.450439,1,43.7,0,0,1,8,0,1,0,0,0,0,1,0,0.31410861
77,1,1,2,1,73,1,1,0,0,0.06734694,0.07969925,42639,2788.7827,0,65.2,1,0,0,5,0,0,0,0,0,0,0,0,0.60637724
78,0,3,2,1,45,2,0.47332186,0,0.52667814,0.15667465,0.02891791,58487,216.66945,0,45.3,0,0,1,4,0,0,0,0,0,0,0,0,0.45564792
79,,2,2,0,84,1,1,0,0,0.26304349,0.03116883,65000,408.29645,0,47.6,0,0,0,6,0,0,0,0,0,0,1,0,0.45325029
80,,2,9,0,84,2,0.81070167,0,0.18929833,0.17683773,0.08605664,61307,107.66242,0,35.7,1,1,0,4,0,1,0,0,0,0,0,0,0.42906398
81,0,2,2,0,31,5,0,0.08064516,0.91935486,0.09351433,0.03303965,51957,0.45987907,0,34.4,0,0,1,10,0,0,0,0,0,0,0,0,0.31671509
82,1,2,9,1,58,1,0.08209273,0.65929389,0.25861335,0.17849223,0.06482364,56516,39.772984,0,34.2,0,0,0,6,0,1,0,0,0,0,0,0,0.37747067
83,,3,7,0,62,2,1,0,0,0.25346312,0.03633061,78204,3455.0278,0,51.2,0,1,0,7,0,0,1,0,0,1,0,0,0.42132047
84,0,2,9,0,83,2,0.81070167,0,0.18929833,0.17683773,0.08605664,61307,107.66242,0,35.7,0,0,1,3,0,0,1,0,0,0,0,0,0.42934531
85,0,3,3,0,56,2,0.93012744,0,0.06987259,0.15454261,0.04030028,77448,128.61081,0,50.5,0,0,0,3,0,0,0,0,0,0,0,0,0.41586295
86,0,1,3,0,42,2,0.80747765,0,0.19252232,0.21702838,0.03313253,71139,70.902016,0,47.4,0,0,0,8,0,0,1,0,0,0,0,0,0.41022068
87,,3,2,1,61,2,0.47332186,0,0.52667814,0.15667465,0.02891791,58487,216.66945,0,45.8,0,0,0,4,0,0,0,0,0,0,0,0,0.45109469
88,0,2,0,0,64,2,0,0,1,0.2237601,0.04397163,62159,63.089127,0,46.8,0,0,1,5,0,1,0,0,0,0,0,0,0.27795956
89,0,3,5,1,66,2,1,0,0,0.16386247,0.043058,62399,3411.9595,0,58.7,0,0,0,1,0,0,0,0,0,0,0,0,0.54670519
90,,3,7,1,47,1,1,0,0,0.16287094,0.01990446,57788,3760.7446,1,56.5,0,0,0,3,0,1,0,0,0,0,0,0,0.56586278
91,0,3,2,1,69,2,1,0,0,0.12830189,0.05440313,59219,1981.5338,0,66.1,0,0,0,6,0,0,0,0,0,0,0,0,0.55686259
92,,2,7,1,89,2,1,0,0,0.09016393,0.06095238,27500,3722.3674,0,69,0,0,0,4,0,0,0,0,0,0,0,0,0.64327729
93,1,2,5,1,68,1,1,0,0,0.3533237,0.04228122,79606,887.96619,0,55.4,0,0,1,10,0,0,0,0,0,0,1,0,0.48564702
94,1,2,2,0,80,1,0.51328725,0,0.48671278,0.27171108,0.02478699,80763,4.4076586,0,44.6,0,1,0,2,0,0,0,0,0,0,1,0,0.31513253
95,0,2,1,0,46,2,1,0,0,0.17886178,0.06789413,61528,3345.4187,0,54,0,0,0,10,0,0,0,0,0,0,0,0,0.47824931
